plotID,stemNumberDensity,basalArea,biomass
SOAP_002,0.04,8.18834526708686,2.7452873494319996
SOAP_003,0.015000000000000001,11.187388154020018,6.746395039044674
SOAP_004,0.12000000000000002,41.927459935360375,197.36330478743255
SOAP_006,0.0025,0.16619025137490004,0.03341996786260711
SOAP_007,0.15000000000000002,14.393952870676864,30.868115284701027
SOAP_008,0.027499999999999997,13.953933549633444,7.564264504563648
SOAP_009,0.21250000000000002,16.855783413846165,33.705153558881236
SOAP_010,0.18500000000000003,4.3307247428817,1.3382522098614322
SOAP_012,0.01,13.613659795341498,5.350118132582051
SOAP_013,0.0175,54.945650478168,36.13330661765666
SOAP_015,0.08750000000000002,54.43007585380575,38.705182869744114
SOAP_017,0.2775,3.993140977299391,69.18074041694865
SOAP_018,0.0175,7.355783943977397,7.223059387432277
SOAP_019,0.0025,0.8251589454194441,0.23222546784719306
SOAP_020,0.63,43.797335882777,154.89504608667778
SOAP_021,0.057500000000000016,44.937439491718834,28.117454662170385
